insideTemperature;summary;outsideTemperature;date
36.0;Clear;29.75;01/01/2000
35.73;Mostly Cloudy;29.39;02/01/2000
35.35;Clear;29.21;03/01/2000
35.19;Clear;30.21;04/01/2000
35.33;Clear;29.4;05/01/2000
35.04;Clear;29.83;06/01/2000
34.69;Clear;29.11;07/01/2000
34.72;Mostly Cloudy;29.82;08/01/2000
34.75;Partly Cloudy;29.46;09/01/2000
35.46;Clear;30.36;10/01/2000
36.45;Clear;31.29;11/01/2000
36.66;Partly Cloudy;30.58;12/01/2000
37.07;Clear;29.98;13/01/2000
36.94;Overcast;30.25;14/01/2000
36.98;Clear;31.33;15/01/2000
36.41;Clear;30.83;16/01/2000
35.65;Clear;29.34;17/01/2000
34.56;Partly Cloudy;28.32;18/01/2000
33.61;Clear;27.37;19/01/2000
32.77;Partly Cloudy;25.43;20/01/2000
32.25;Clear;25.0;21/01/2000
31.3;Clear;23.82;22/01/2000
30.61;Clear;22.93;23/01/2000
30.04;Clear;22.06;24/01/2000
29.6;Clear;22.02;25/01/2000
29.38;Clear;21.52;26/01/2000
28.53;Clear;20.56;27/01/2000
29.15;Clear;21.55;28/01/2000
29.14;Clear;22.27;29/01/2000
28.96;Partly Cloudy;21.51;30/01/2000
28.94;Partly Cloudy;22.04;31/01/2000
28.71;Partly Cloudy;21.65;01/02/2000
28.67;Clear;20.64;02/02/2000
30.68;Clear;23.07;03/02/2000
32.12;Clear;23.92;04/02/2000
33.41;Partly Cloudy;25.29;05/02/2000
34.84;Clear;26.99;06/02/2000
35.26;Partly Cloudy;27.02;07/02/2000
35.75;Clear;28.39;08/02/2000
34.72;Clear;26.5;09/02/2000
34.04;Clear;26.9;10/02/2000
33.21;Clear;26.99;11/02/2000
32.8;Clear;26.77;12/02/2000
32.65;Mostly Cloudy;26.61;13/02/2000
32.49;Partly Cloudy;26.58;14/02/2000
32.72;Clear;26.34;15/02/2000
32.66;Clear;26.48;16/02/2000
32.1;Clear;25.66;17/02/2000
31.7;Partly Cloudy;25.63;18/02/2000
31.09;Partly Cloudy;24.24;19/02/2000
30.53;Clear;23.53;20/02/2000
29.71;Clear;22.83;21/02/2000
29.21;Clear;22.51;22/02/2000
28.66;Clear;21.35;23/02/2000
27.46;Clear;19.96;24/02/2000
27.24;Clear;20.42;25/02/2000
28.19;Clear;21.03;26/02/2000
30.95;Clear;23.62;27/02/2000
34.09;Clear;26.93;28/02/2000
36.67;Clear;30.15;29/02/2000
37.64;Clear;30.89;01/03/2000
39.0;Partly Cloudy;31.53;02/03/2000
39.5;Partly Cloudy;32.36;03/03/2000
39.16;Partly Cloudy;32.97;04/03/2000
38.34;Clear;32.5;05/03/2000
37.15;Clear;31.4;06/03/2000
35.7;Clear;30.8;07/03/2000
34.02;Clear;29.33;08/03/2000
33.94;Clear;28.56;09/03/2000
32.7;Clear;27.87;10/03/2000
31.71;Clear;26.35;11/03/2000
30.35;Clear;24.49;12/03/2000
27.93;Clear;23.68;13/03/2000
27.73;Clear;21.23;14/03/2000
27.24;Clear;20.45;15/03/2000
28.39;Clear;19.76;16/03/2000
27.6;Clear;17.16;17/03/2000
27.55;Clear;17.82;18/03/2000
25.63;Partly Cloudy;15.26;19/03/2000
24.3;Partly Cloudy;13.58;20/03/2000
22.48;Clear;11.25;21/03/2000
21.72;Clear;9.41;22/03/2000
21.16;Clear;9.26;23/03/2000
21.09;Clear;8.95;24/03/2000
21.45;Clear;9.32;25/03/2000
21.62;Partly Cloudy;10.5;26/03/2000
21.32;Clear;9.29;27/03/2000
20.3;Clear;7.74;28/03/2000
18.16;Clear;4.49;29/03/2000
15.5;Clear;0.62;30/03/2000
13.51;Clear;-1.33;31/03/2000
11.92;Clear;-2.45;01/04/2000
10.72;Clear;-4.74;02/04/2000
9.56;Clear;-6.07;03/04/2000
8.65;Clear;-7.12;04/04/2000
7.45;Clear;-7.96;05/04/2000
6.57;Clear;-8.64;06/04/2000
6.27;Clear;-8.65;07/04/2000
5.71;Clear;-8.7;08/04/2000
5.34;Clear;-7.73;09/04/2000
5.09;Clear;-6.88;10/04/2000
4.9;Clear;-7.53;11/04/2000
4.77;Clear;-8.08;12/04/2000
4.62;Clear;-7.7;13/04/2000
5.08;Clear;-6.2;14/04/2000
8.11;Clear;-4.12;15/04/2000
11.26;Clear;0.48;16/04/2000
14.72;Clear;4.69;17/04/2000
17.97;Clear;9.39;18/04/2000
20.37;Clear;12.15;19/04/2000
22.42;Clear;13.31;20/04/2000
23.66;Clear;16.96;21/04/2000
23.17;Clear;23.17;22/04/2000
19.78;Clear;15.28;23/04/2000
17.09;Clear;11.79;24/04/2000
14.45;Clear;8.58;25/04/2000
13.45;Clear;7.68;26/04/2000
12.43;Clear;6.83;27/04/2000
11.54;Clear;4.56;28/04/2000
11.16;Clear;11.16;29/04/2000
10.5;Clear;2.32;30/04/2000
9.92;Clear;9.92;01/05/2000
9.68;Clear;2.05;02/05/2000
8.96;Clear;8.96;03/05/2000
8.94;Clear;-1.85;04/05/2000
7.97;Clear;7.97;05/05/2000
8.03;Clear;8.03;06/05/2000
7.23;Clear;7.23;07/05/2000
8.52;Clear;1.86;08/05/2000
14.09;Clear;6.24;09/05/2000
20.55;Clear;13.9;10/05/2000
27.31;Clear;21.01;11/05/2000
32.51;Clear;27.29;12/05/2000
36.2;Clear;30.83;13/05/2000
38.55;Clear;33.46;14/05/2000
39.67;Clear;35.22;15/05/2000
37.9;Clear;33.03;16/05/2000
31.84;Clear;26.74;17/05/2000
27.55;Clear;22.7;18/05/2000
25.09;Clear;19.57;19/05/2000
24.18;Clear;18.97;20/05/2000
22.58;Clear;16.03;21/05/2000
21.55;Clear;15.86;22/05/2000
20.55;Clear;14.4;23/05/2000
18.88;Clear;18.88;24/05/2000
17.33;Clear;17.33;25/05/2000
16.04;Clear;16.04;26/05/2000
15.34;Clear;9.92;27/05/2000
14.2;Clear;9.08;28/05/2000
13.15;Clear;13.15;29/05/2000
12.91;Clear;12.91;30/05/2000
11.86;Clear;11.86;31/05/2000
13.62;Clear;13.62;01/06/2000
19.51;Clear;13.31;02/06/2000
24.66;Clear;24.66;03/06/2000
29.53;Clear;24.69;04/06/2000
34.11;Clear;30.42;05/06/2000
37.45;Clear;37.45;06/06/2000
39.57;Clear;39.57;07/06/2000
40.98;Clear;40.98;08/06/2000
38.08;Clear;38.08;09/06/2000
30.65;Clear;30.65;10/06/2000
26.52;Clear;26.52;11/06/2000
24.1;Clear;24.1;12/06/2000
22.75;Clear;17.43;13/06/2000
21.3;Clear;17.03;14/06/2000
20.36;Clear;15.29;15/06/2000
19.18;Clear;12.92;16/06/2000
18.49;Clear;13.94;17/06/2000
17.75;Clear;11.99;18/06/2000
17.17;Clear;10.45;19/06/2000
17.5;Clear;11.4;20/06/2000
17.66;Clear;10.56;21/06/2000
17.31;Clear;9.74;22/06/2000
17.53;Clear;9.42;23/06/2000
17.64;Clear;9.79;24/06/2000
19.82;Clear;13.91;25/06/2000
25.36;Clear;21.13;26/06/2000
30.73;Clear;25.26;27/06/2000
34.31;Clear;29.78;28/06/2000
35.52;Clear;31.15;29/06/2000
37.0;Partly Cloudy;32.73;30/06/2000
37.22;Partly Cloudy;32.57;01/07/2000
36.9;Clear;32.52;02/07/2000
36.09;Partly Cloudy;32.51;03/07/2000
35.28;Clear;30.96;04/07/2000
34.74;Partly Cloudy;30.91;05/07/2000
34.76;Mostly Cloudy;30.23;06/07/2000
34.55;Clear;30.14;07/07/2000
34.88;Partly Cloudy;34.88;08/07/2000
34.98;Clear;34.98;09/07/2000
34.42;Clear;34.42;10/07/2000
34.5;Partly Cloudy;30.37;11/07/2000
34.42;Overcast;30.56;12/07/2000
34.08;Clear;30.81;13/07/2000
34.04;Partly Cloudy;30.86;14/07/2000
34.07;Clear;30.27;15/07/2000
34.12;Clear;30.84;16/07/2000
34.25;Clear;34.25;17/07/2000
34.03;Mostly Cloudy;34.03;18/07/2000
34.53;Clear;32.11;19/07/2000
35.59;Clear;33.04;20/07/2000
37.14;Clear;37.14;21/07/2000
38.61;Clear;35.51;22/07/2000
39.77;Clear;37.02;23/07/2000
40.74;Overcast;37.64;24/07/2000
41.15;Clear;37.8;25/07/2000
41.22;Partly Cloudy;38.04;26/07/2000
40.52;Clear;38.34;27/07/2000
38.8;Clear;35.99;28/07/2000
38.22;Clear;35.14;29/07/2000
37.4;Overcast;34.22;30/07/2000
36.99;Partly Cloudy;34.51;31/07/2000
36.53;Clear;33.11;01/08/2000
36.13;Clear;31.76;02/08/2000
36.04;Clear;32.91;03/08/2000
36.33;Clear;33.28;04/08/2000
36.33;Overcast;32.54;05/08/2000
36.84;Clear;32.11;06/08/2000
36.77;Clear;36.77;07/08/2000
37.19;Clear;32.17;08/08/2000
37.97;Clear;32.96;09/08/2000
39.19;Partly Cloudy;34.66;10/08/2000
39.93;Drizzle;35.33;11/08/2000
41.24;Light Rain;36.99;12/08/2000
43.89;Rain;38.94;13/08/2000
46.86;Rain;42.65;14/08/2000
48.61;Rain;46.53;15/08/2000
49.78;Rain;48.84;16/08/2000
50.75;Rain;50.75;17/08/2000
53.24;Light Rain;53.24;18/08/2000
53.49;Light Rain;53.49;19/08/2000
55.08;Drizzle;55.08;20/08/2000
54.3;Light Rain;54.3;21/08/2000
51.97;Light Rain;51.97;22/08/2000
49.83;Light Rain;47.05;23/08/2000
48.15;Clear;44.27;24/08/2000
47.07;Clear;43.17;25/08/2000
44.15;Clear;39.66;26/08/2000
43.71;Clear;37.11;27/08/2000
40.2;Partly Cloudy;31.92;28/08/2000
37.99;Partly Cloudy;29.56;29/08/2000
36.36;Clear;27.78;30/08/2000
35.07;Partly Cloudy;25.71;31/08/2000
32.92;Clear;23.41;01/09/2000
30.77;Clear;19.41;02/09/2000
29.14;Clear;18.07;03/09/2000
28.09;Clear;18.21;04/09/2000
28.1;Clear;17.77;05/09/2000
28.71;Clear;16.97;06/09/2000
28.9;Clear;17.2;07/09/2000
29.07;Clear;17.31;08/09/2000
29.53;Clear;18.53;09/09/2000
29.91;Partly Cloudy;18.61;10/09/2000
30.14;Clear;19.1;11/09/2000
29.27;Clear;17.39;12/09/2000
28.02;Clear;17.13;13/09/2000
26.31;Clear;15.79;14/09/2000
25.31;Clear;15.99;15/09/2000
24.47;Clear;14.98;16/09/2000
23.37;Clear;13.58;17/09/2000
22.39;Clear;12.99;18/09/2000
21.38;Clear;14.07;19/09/2000
20.44;Clear;13.56;20/09/2000
18.45;Clear;11.27;21/09/2000
18.45;Clear;13.31;22/09/2000
16.77;Clear;16.77;23/09/2000
16.56;Clear;16.56;24/09/2000
16.05;Clear;16.05;25/09/2000
15.69;Clear;10.03;26/09/2000
15.57;Clear;15.57;27/09/2000
16.47;Clear;10.32;28/09/2000
17.0;Clear;17.0;29/09/2000
21.82;Clear;13.93;30/09/2000
24.84;Clear;16.86;01/10/2000
27.3;Clear;18.64;02/10/2000
29.77;Partly Cloudy;20.99;03/10/2000
31.5;Partly Cloudy;23.34;04/10/2000
32.88;Clear;25.04;05/10/2000
33.33;Partly Cloudy;26.44;06/10/2000
32.04;Clear;26.3;07/10/2000
30.37;Light Snow;27.39;08/10/2000
29.98;Light Snow;29.98;09/10/2000
29.91;Light Snow;29.91;10/10/2000
29.24;Light Snow;29.24;11/10/2000
27.59;Flurries;24.01;12/10/2000
26.76;Flurries;22.76;13/10/2000
24.96;Clear;19.18;14/10/2000
24.23;Partly Cloudy;12.7;15/10/2000
23.42;Partly Cloudy;11.47;16/10/2000
23.14;Clear;11.45;17/10/2000
22.47;Clear;10.22;18/10/2000
22.56;Clear;10.34;19/10/2000
22.62;Clear;9.66;20/10/2000
22.7;Clear;9.54;21/10/2000
21.83;Clear;9.1;22/10/2000
21.88;Clear;8.67;23/10/2000
22.17;Clear;8.73;24/10/2000
22.96;Partly Cloudy;8.58;25/10/2000
23.15;Partly Cloudy;8.68;26/10/2000
23.82;Partly Cloudy;9.48;27/10/2000
24.73;Clear;10.97;28/10/2000
24.29;Clear;10.49;29/10/2000
24.22;Clear;11.0;30/10/2000
22.88;Clear;10.55;31/10/2000
21.19;Clear;9.69;01/11/2000
19.58;Clear;8.7;02/11/2000
19.33;Clear;9.24;03/11/2000
18.11;Clear;8.87;04/11/2000
17.49;Clear;8.66;05/11/2000
17.48;Clear;10.16;06/11/2000
17.07;Clear;10.06;07/11/2000
