waterTemperature;outsideTemperature;date
14.3;29.75;01/01/2000
14.3;29.39;02/01/2000
14.3;29.21;03/01/2000
14.3;30.21;04/01/2000
14.3;29.4;05/01/2000
14.3;29.83;06/01/2000
14.3;29.11;07/01/2000
14.3;29.82;08/01/2000
14.3;29.46;09/01/2000
14.3;30.36;10/01/2000
14.3;31.29;11/01/2000
14.3;30.58;12/01/2000
14.3;29.98;13/01/2000
14.3;30.25;14/01/2000
14.3;31.33;15/01/2000
14.3;30.83;16/01/2000
14.3;29.34;17/01/2000
14.3;28.32;18/01/2000
14.3;27.37;19/01/2000
14.3;25.43;20/01/2000
14.3;25.0;21/01/2000
14.3;23.82;22/01/2000
14.3;22.93;23/01/2000
14.3;22.06;24/01/2000
14.3;22.02;25/01/2000
14.3;21.52;26/01/2000
14.3;20.56;27/01/2000
14.3;21.55;28/01/2000
14.3;22.27;29/01/2000
14.3;21.51;30/01/2000
14.3;22.04;31/01/2000
13.8;21.65;01/02/2000
13.8;20.64;02/02/2000
13.8;23.07;03/02/2000
13.8;23.92;04/02/2000
13.8;25.29;05/02/2000
13.8;26.99;06/02/2000
13.8;27.02;07/02/2000
13.8;28.39;08/02/2000
13.8;26.5;09/02/2000
13.8;26.9;10/02/2000
13.8;26.99;11/02/2000
13.8;26.77;12/02/2000
13.8;26.61;13/02/2000
13.8;26.58;14/02/2000
13.8;26.34;15/02/2000
13.8;26.48;16/02/2000
13.8;25.66;17/02/2000
13.8;25.63;18/02/2000
13.8;24.24;19/02/2000
13.8;23.53;20/02/2000
13.8;22.83;21/02/2000
13.8;22.51;22/02/2000
13.8;21.35;23/02/2000
13.8;19.96;24/02/2000
13.8;20.42;25/02/2000
13.8;21.03;26/02/2000
13.8;23.62;27/02/2000
13.8;26.93;28/02/2000
13.8;30.15;29/02/2000
13.8;30.89;01/03/2000
13.8;31.53;02/03/2000
13.8;32.36;03/03/2000
13.8;32.97;04/03/2000
13.8;32.5;05/03/2000
13.8;31.4;06/03/2000
13.8;30.8;07/03/2000
13.8;29.33;08/03/2000
13.8;28.56;09/03/2000
13.8;27.87;10/03/2000
13.8;26.35;11/03/2000
13.8;24.49;12/03/2000
13.8;23.68;13/03/2000
13.8;21.23;14/03/2000
13.8;20.45;15/03/2000
13.8;19.76;16/03/2000
13.8;17.16;17/03/2000
13.8;17.82;18/03/2000
13.8;15.26;19/03/2000
13.8;13.58;20/03/2000
13.8;11.25;21/03/2000
13.8;9.41;22/03/2000
13.8;9.26;23/03/2000
13.8;8.95;24/03/2000
13.8;9.32;25/03/2000
13.8;10.5;26/03/2000
13.8;9.29;27/03/2000
13.8;7.74;28/03/2000
13.8;4.49;29/03/2000
13.8;0.62;30/03/2000
13.8;-1.33;31/03/2000
15.2;-2.45;01/04/2000
15.2;-4.74;02/04/2000
15.2;-6.07;03/04/2000
15.2;-7.12;04/04/2000
15.2;-7.96;05/04/2000
15.2;-8.64;06/04/2000
15.2;-8.65;07/04/2000
15.2;-8.7;08/04/2000
15.2;-7.73;09/04/2000
15.2;-6.88;10/04/2000
15.2;-7.53;11/04/2000
15.2;-8.08;12/04/2000
15.2;-7.7;13/04/2000
15.2;-6.2;14/04/2000
15.2;-4.12;15/04/2000
15.2;0.48;16/04/2000
15.2;4.69;17/04/2000
15.2;9.39;18/04/2000
15.2;12.15;19/04/2000
15.2;13.31;20/04/2000
15.2;16.96;21/04/2000
15.2;23.17;22/04/2000
15.2;15.28;23/04/2000
15.2;11.79;24/04/2000
15.2;8.58;25/04/2000
15.2;7.68;26/04/2000
15.2;6.83;27/04/2000
15.2;4.56;28/04/2000
15.2;11.16;29/04/2000
15.2;2.32;30/04/2000
16.5;9.92;01/05/2000
16.5;2.05;02/05/2000
16.5;8.96;03/05/2000
16.5;-1.85;04/05/2000
16.5;7.97;05/05/2000
16.5;8.03;06/05/2000
16.5;7.23;07/05/2000
16.5;1.86;08/05/2000
16.5;6.24;09/05/2000
16.5;13.9;10/05/2000
16.5;21.01;11/05/2000
16.5;27.29;12/05/2000
16.5;30.83;13/05/2000
16.5;33.46;14/05/2000
16.5;35.22;15/05/2000
16.5;33.03;16/05/2000
16.5;26.74;17/05/2000
16.5;22.7;18/05/2000
16.5;19.57;19/05/2000
16.5;18.97;20/05/2000
16.5;16.03;21/05/2000
16.5;15.86;22/05/2000
16.5;14.4;23/05/2000
16.5;18.88;24/05/2000
16.5;17.33;25/05/2000
16.5;16.04;26/05/2000
16.5;9.92;27/05/2000
16.5;9.08;28/05/2000
16.5;13.15;29/05/2000
16.5;12.91;30/05/2000
16.5;11.86;31/05/2000
17.3;13.62;01/06/2000
17.3;13.31;02/06/2000
17.3;24.66;03/06/2000
17.3;24.69;04/06/2000
17.3;30.42;05/06/2000
17.3;37.45;06/06/2000
17.3;39.57;07/06/2000
17.3;40.98;08/06/2000
17.3;38.08;09/06/2000
17.3;30.65;10/06/2000
17.3;26.52;11/06/2000
17.3;24.1;12/06/2000
17.3;17.43;13/06/2000
17.3;17.03;14/06/2000
17.3;15.29;15/06/2000
17.3;12.92;16/06/2000
17.3;13.94;17/06/2000
17.3;11.99;18/06/2000
17.3;10.45;19/06/2000
17.3;11.4;20/06/2000
17.3;10.56;21/06/2000
17.3;9.74;22/06/2000
17.3;9.42;23/06/2000
17.3;9.79;24/06/2000
17.3;13.91;25/06/2000
17.3;21.13;26/06/2000
17.3;25.26;27/06/2000
17.3;29.78;28/06/2000
17.3;31.15;29/06/2000
17.3;32.73;30/06/2000
17.2;32.57;01/07/2000
17.2;32.52;02/07/2000
17.2;32.51;03/07/2000
17.2;30.96;04/07/2000
17.2;30.91;05/07/2000
17.2;30.23;06/07/2000
17.2;30.14;07/07/2000
17.2;34.88;08/07/2000
17.2;34.98;09/07/2000
17.2;34.42;10/07/2000
17.2;30.37;11/07/2000
17.2;30.56;12/07/2000
17.2;30.81;13/07/2000
17.2;30.86;14/07/2000
17.2;30.27;15/07/2000
17.2;30.84;16/07/2000
17.2;34.25;17/07/2000
17.2;34.03;18/07/2000
17.2;32.11;19/07/2000
17.2;33.04;20/07/2000
17.2;37.14;21/07/2000
17.2;35.51;22/07/2000
17.2;37.02;23/07/2000
17.2;37.64;24/07/2000
17.2;37.8;25/07/2000
17.2;38.04;26/07/2000
17.2;38.34;27/07/2000
17.2;35.99;28/07/2000
17.2;35.14;29/07/2000
17.2;34.22;30/07/2000
17.2;34.51;31/07/2000
17.6;33.11;01/08/2000
17.6;31.76;02/08/2000
17.6;32.91;03/08/2000
17.6;33.28;04/08/2000
17.6;32.54;05/08/2000
17.6;32.11;06/08/2000
17.6;36.77;07/08/2000
17.6;32.17;08/08/2000
17.6;32.96;09/08/2000
17.6;34.66;10/08/2000
17.6;35.33;11/08/2000
17.6;36.99;12/08/2000
17.6;38.94;13/08/2000
17.6;42.65;14/08/2000
17.6;46.53;15/08/2000
17.6;48.84;16/08/2000
17.6;50.75;17/08/2000
17.6;53.24;18/08/2000
17.6;53.49;19/08/2000
17.6;55.08;20/08/2000
17.6;54.3;21/08/2000
17.6;51.97;22/08/2000
17.6;47.05;23/08/2000
17.6;44.27;24/08/2000
17.6;43.17;25/08/2000
17.6;39.66;26/08/2000
17.6;37.11;27/08/2000
17.6;31.92;28/08/2000
17.6;29.56;29/08/2000
17.6;27.78;30/08/2000
17.6;25.71;31/08/2000
18.1;23.41;01/09/2000
18.1;19.41;02/09/2000
18.1;18.07;03/09/2000
18.1;18.21;04/09/2000
18.1;17.77;05/09/2000
18.1;16.97;06/09/2000
18.1;17.2;07/09/2000
18.1;17.31;08/09/2000
18.1;18.53;09/09/2000
18.1;18.61;10/09/2000
18.1;19.1;11/09/2000
18.1;17.39;12/09/2000
18.1;17.13;13/09/2000
18.1;15.79;14/09/2000
18.1;15.99;15/09/2000
18.1;14.98;16/09/2000
18.1;13.58;17/09/2000
18.1;12.99;18/09/2000
18.1;14.07;19/09/2000
18.1;13.56;20/09/2000
18.1;11.27;21/09/2000
18.1;13.31;22/09/2000
18.1;16.77;23/09/2000
18.1;16.56;24/09/2000
18.1;16.05;25/09/2000
18.1;10.03;26/09/2000
18.1;15.57;27/09/2000
18.1;10.32;28/09/2000
18.1;17.0;29/09/2000
18.1;13.93;30/09/2000
17.7;16.86;01/10/2000
17.7;18.64;02/10/2000
17.7;20.99;03/10/2000
17.7;23.34;04/10/2000
17.7;25.04;05/10/2000
17.7;26.44;06/10/2000
17.7;26.3;07/10/2000
17.7;27.39;08/10/2000
17.7;29.98;09/10/2000
17.7;29.91;10/10/2000
17.7;29.24;11/10/2000
17.7;24.01;12/10/2000
17.7;22.76;13/10/2000
17.7;19.18;14/10/2000
17.7;12.7;15/10/2000
17.7;11.47;16/10/2000
17.7;11.45;17/10/2000
17.7;10.22;18/10/2000
17.7;10.34;19/10/2000
17.7;9.66;20/10/2000
17.7;9.54;21/10/2000
17.7;9.1;22/10/2000
17.7;8.67;23/10/2000
17.7;8.73;24/10/2000
17.7;8.58;25/10/2000
17.7;8.68;26/10/2000
17.7;9.48;27/10/2000
17.7;10.97;28/10/2000
17.7;10.49;29/10/2000
17.7;11.0;30/10/2000
17.7;10.55;31/10/2000
17.0;9.69;01/11/2000
17.0;8.7;02/11/2000
17.0;9.24;03/11/2000
17.0;8.87;04/11/2000
17.0;8.66;05/11/2000
17.0;10.16;06/11/2000
17.0;10.06;07/11/2000
17.0;8.42;08/11/2000
17.0;7.4;09/11/2000
17.0;6.69;10/11/2000
17.0;7.73;11/11/2000
17.0;10.12;12/11/2000
17.0;9.48;13/11/2000
17.0;9.12;14/11/2000
17.0;9.67;15/11/2000
17.0;9.29;16/11/2000
17.0;9.58;17/11/2000
17.0;10.67;18/11/2000
17.0;13.44;19/11/2000
17.0;14.65;20/11/2000
17.0;18.8;21/11/2000
17.0;18.93;22/11/2000
17.0;18.81;23/11/2000
17.0;20.05;24/11/2000
17.0;20.15;25/11/2000
17.0;18.22;26/11/2000
17.0;19.75;27/11/2000
17.0;17.78;28/11/2000
17.0;15.71;29/11/2000
17.0;21.04;30/11/2000
15.5;22.33;01/12/2000
15.5;16.17;02/12/2000
15.5;23.21;03/12/2000
15.5;23.68;04/12/2000
15.5;23.68;05/12/2000
15.5;22.61;06/12/2000
15.5;21.7;07/12/2000
15.5;22.75;08/12/2000
15.5;24.59;09/12/2000
15.5;25.3;10/12/2000
15.5;26.91;11/12/2000
15.5;25.29;12/12/2000
15.5;32.69;13/12/2000
15.5;35.19;14/12/2000
15.5;36.97;15/12/2000
15.5;36.44;16/12/2000
15.5;38.82;17/12/2000
15.5;35.18;18/12/2000
15.5;31.94;19/12/2000
15.5;32.28;20/12/2000
15.5;32.07;21/12/2000
15.5;30.7;22/12/2000
15.5;31.45;23/12/2000
15.5;30.68;24/12/2000
15.5;30.25;25/12/2000
15.5;28.45;26/12/2000
